Month,AUD_LKR,GBP_LKR,JPY_LKR,KWD_LKR,USD_LKR
2014-08,121.13048095238095,217.56210476190475,1.2647857142857144,458.90673333333336,130.1885
2014-09,117.92045714285715,212.65074285714286,1.214295238095238,454.4575380952381,130.26052380952382
2014-10,114.681005,210.07637,1.21036,452.242655,130.59949999999998
2014-11,113.37073684210526,206.6380842105263,1.1283684210526317,449.9575,130.93755789473684
2014-12,108.11633181818182,204.84923636363638,1.0976000000000001,448.5301727272727,131.02158181818183
2015-01,106.30554736842105,199.58502631578946,1.1106,447.08998421052627,131.55075263157894
2015-02,103.4618294117647,203.6902294117647,1.1180823529411765,449.1880705882353,132.7292823529412
2015-03,102.70431904761905,199.0744238095238,1.1037142857142856,444.48897142857146,132.89895238095238
2015-04,102.88536315789473,198.99776842105265,1.1125421052631579,440.6841263157895,132.89925789473685
2015-05,105.4687947368421,206.7718105263158,1.1054894736842105,442.0489631578947,133.49602631578946
2015-06,103.37436666666666,208.5911619047619,1.0826142857142858,443.17920476190477,133.8952238095238
2015-07,99.1494761904762,207.92900952380955,1.0845047619047619,441.55023333333327,133.6853380952381
2015-08,97.68183333333333,208.77349523809525,1.0865,442.6197238095238,133.8780142857143
2015-09,98.0480380952381,213.19595238095238,1.1561047619047617,459.6887047619047,138.87692857142858
2015-10,101.4590761904762,215.92829047619048,1.1736333333333333,466.36891428571425,140.8945
2015-11,101.56942631578947,216.22926842105264,1.1597368421052632,467.5610105263158,142.02476315789474
2015-12,103.98714285714286,215.20960952380952,1.1775333333333333,472.2797476190476,143.44355238095238
2016-01,101.16838,207.69230499999998,1.21753,473.45341499999995,143.940255
2016-02,102.56293157894737,205.92103684210528,1.2540052631578948,479.6545578947369,143.92883684210526
2016-03,107.74553,204.738765,1.27448,478.10299000000003,143.959375
2016-04,110.13996666666667,205.9119,1.3107444444444445,476.97506111111113,143.90013333333334
2016-05,106.606565,211.64115999999999,1.337735,483.15195000000006,145.65022
2016-06,107.42496818181817,206.5996909090909,1.3766954545454546,481.8840272727273,145.28357272727274
2016-07,109.44699473684211,191.48873157894735,1.3971631578947368,481.1546421052632,145.4069947368421
2016-08,110.99608636363637,190.95839090909092,1.4365590909090908,482.84192272727273,145.60095454545456
2016-09,110.73472999999998,191.71341999999999,1.4309850000000002,483.57077,145.78488
2016-10,111.91627142857143,181.48025238095238,1.4159619047619048,485.5508952380952,146.8722761904762
2016-11,111.37494761904762,183.5349476190476,1.3690095238095237,486.51963809523807,147.77096666666665
2016-12,109.24980000000001,185.7206736842105,1.283578947368421,487.25339473684215,148.8819947368421
2017-01,111.76470476190475,185.29153809523808,1.305047619047619,491.27939999999995,150.09458095238094
2017-02,115.5685388888889,188.37226666666666,1.3343555555555555,494.1713666666667,150.81730555555555
2017-03,115.4393347826087,186.8398391304348,1.340308695652174,496.09666086956526,151.42749565217392
2017-04,114.38938235294118,191.93078235294118,1.3786470588235296,497.97648823529414,151.75951764705883
2017-05,113.321025,196.77342,1.3591900000000001,501.123745,152.334425
2017-06,115.42563,195.56049000000002,1.37819,503.74008999999995,152.83071999999999
2017-07,119.76878571428571,199.6732380952381,1.366852380952381,507.4607,153.66600476190476
2017-08,121.26361818181817,198.6420909090909,1.3953454545454547,507.4867363636364,153.19295454545454
2017-09,121.93604736842106,203.90922631578945,1.380505263157895,507.26678421052634,152.8973842105263
2017-10,119.55771999999999,202.719925,1.359075,508.161895,153.526155
2017-11,117.14231904761904,203.28126666666668,1.3623952380952382,508.6759285714285,153.65987142857142
2017-12,117.05856315789474,205.22797894736843,1.3559157894736842,506.9089368421053,153.15055263157893
2018-01,122.12804000000001,212.043455,1.38351,511.24573499999997,153.801585
2018-02,122.0294,216.62408888888888,1.437388888888889,516.6788555555555,154.85786666666667
2018-03,120.97011,217.708105,1.4695399999999998,519.32206,155.728835
2018-04,120.12162631578947,220.09484210526315,1.4531684210526314,520.5477736842105,156.1354
2018-05,118.85712857142856,213.04568095238096,1.439452380952381,523.3268428571429,157.89936666666668
